center	assay	assay-info	cell-lines	cell-lines-meta	purturbagens	perturbagens-meta	perturbagens-meta (cont)	perturbagens-meta (cont)	sigtures-meta	map	readouts	readout-count	data release date	data release date	data release date	data release date	release-link	phase
HMS-Sorger	"Brivanib KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20180/	LP1
HMS-Sorger	"GDC-0879 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20181/	LP1
HMS-Sorger	"ABT-869 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20182/	LP1
HMS-Sorger	"Ki-20227 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20183/	LP1
HMS-Sorger	"Bosutinib KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20184/	LP1
HMS-Sorger	"KW-2449 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20185/	LP1
HMS-Sorger	"Vandetanib KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20186/	LP1
HMS-Sorger	"PKC-412 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20187/	LP1
HMS-Sorger	"CP-690550 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20188/	LP1
HMS-Sorger	"Lestaurtinib KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20189/	LP1
HMS-Sorger	"GSK-1838705A KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20190/	LP1
HMS-Sorger	"AT-7519 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20191/	LP1
HMS-Sorger	"Sorafenib KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20192/	LP1
HMS-Sorger	"Flavopiridol KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20193/	LP1
HMS-Sorger	"GSK461364 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20194/	LP1
HMS-Sorger	"HKI-272 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20195/	LP1
HMS-Sorger	"Dasatinib KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20196/	LP1
HMS-Sorger	"VX-680 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20197/	LP1
HMS-Sorger	"Imatinib KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20198/	LP1
HMS-Sorger	"NVP-TAE684 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20199/	LP1
HMS-Sorger	"Crizotinib KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20200/	LP1
HMS-Sorger	"RAF 265 KINOMEscan: Data published in Davis, et al. (2011) Nat. Biotechnol. PMID: 22037378"	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20201/	LP1
HMS-Sorger	RO-3306 KINOMEscan	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20202/	LP1
HMS-Sorger	CGP74514A KINOMEscan	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20203/	LP1
HMS-Sorger	QL-X-138 KiNativ -- single dose experiment	KINOMEscan assay				false\											http://lincs.hms.harvard.edu/db/datasets/20204/	LP1
HMS-Sorger	PCI-32765 KiNativ -- single dose experiment	KiNativ assay				false\											http://lincs.hms.harvard.edu/db/datasets/20206/	LP1
HMS-Sorger	BX795 KiNativ -- single dose experiment	KiNativ assay				false\											http://lincs.hms.harvard.edu/db/datasets/20207/	LP1
HMS-Sorger	OTSSP167 KiNativ -- single dose experiment	KiNativ assay				false\											http://lincs.hms.harvard.edu/db/datasets/20209/	LP1
HMS-Sorger	DCC-2036 KiNativ -- single dose experiment	KiNativ assay				false\											http://lincs.hms.harvard.edu/db/datasets/20210/	LP1
HMS-Sorger	5z-7-oxozeaenol KINOMEscan	KiNativ assay				false\											http://lincs.hms.harvard.edu/db/datasets/20211/	LP1
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
